Quarter,Year,Business_Unit,Region,Revenue,Operating_Costs,Marketing_Costs,Administrative_Costs,Total_Costs,Gross_Profit,Profit_Margin
Q1,2024,Investment Banking,North America,5800000,3250000,425000,580000,4255000,1545000,26.64
Q1,2024,Investment Banking,Europe,4200000,2450000,310000,420000,3180000,1020000,24.29
Q1,2024,Investment Banking,Asia Pacific,3100000,1950000,280000,310000,2540000,560000,18.06
Q1,2024,Asset Management,North America,3500000,1820000,290000,350000,2460000,1040000,29.71
Q1,2024,Asset Management,Europe,2800000,1550000,245000,280000,2075000,725000,25.89
Q1,2024,Asset Management,Asia Pacific,1900000,1150000,180000,190000,1520000,380000,20
Q1,2024,Wealth Management,North America,4200000,2150000,380000,420000,2950000,1250000,29.76
Q1,2024,Wealth Management,Europe,3400000,1950000,295000,340000,2585000,815000,23.97
Q1,2024,Wealth Management,Asia Pacific,2200000,1420000,210000,220000,1850000,350000,15.91
Q1,2024,Commercial Banking,North America,6500000,3950000,520000,650000,5120000,1380000,21.23
Q1,2024,Commercial Banking,Europe,5200000,3350000,425000,520000,4295000,905000,17.4
Q1,2024,Commercial Banking,Asia Pacific,3800000,2580000,340000,380000,3300000,500000,13.16
Q2,2024,Investment Banking,North America,6200000,3380000,465000,620000,4465000,1735000,27.98
Q2,2024,Investment Banking,Europe,4500000,2580000,330000,450000,3360000,1140000,25.33
Q2,2024,Investment Banking,Asia Pacific,3300000,2050000,295000,330000,2675000,625000,18.94
Q2,2024,Asset Management,North America,3750000,1920000,310000,375000,2605000,1145000,30.53
Q2,2024,Asset Management,Europe,3000000,1630000,260000,300000,2190000,810000,27
Q2,2024,Asset Management,Asia Pacific,2100000,1220000,195000,210000,1625000,475000,22.62
Q2,2024,Wealth Management,North America,4500000,2250000,405000,450000,3105000,1395000,31
Q2,2024,Wealth Management,Europe,3650000,2050000,315000,365000,2730000,920000,25.21
Q2,2024,Wealth Management,Asia Pacific,2400000,1480000,225000,240000,1945000,455000,18.96
Q2,2024,Commercial Banking,North America,6800000,4080000,545000,680000,5305000,1495000,21.99
Q2,2024,Commercial Banking,Europe,5500000,3480000,445000,550000,4475000,1025000,18.64
Q2,2024,Commercial Banking,Asia Pacific,4100000,2720000,365000,410000,3495000,605000,14.76
Q3,2024,Investment Banking,North America,6500000,3480000,490000,650000,4620000,1880000,28.92
Q3,2024,Investment Banking,Europe,4800000,2680000,350000,480000,3510000,1290000,26.88
Q3,2024,Investment Banking,Asia Pacific,3600000,2150000,315000,360000,2825000,775000,21.53
Q3,2024,Asset Management,North America,3900000,1980000,325000,390000,2695000,1205000,30.9
Q3,2024,Asset Management,Europe,3200000,1690000,275000,320000,2285000,915000,28.59
Q3,2024,Asset Management,Asia Pacific,2300000,1280000,210000,230000,1720000,580000,25.22
Q3,2024,Wealth Management,North America,4700000,2320000,425000,470000,3215000,1485000,31.6
Q3,2024,Wealth Management,Europe,3850000,2120000,330000,385000,2835000,1015000,26.36
Q3,2024,Wealth Management,Asia Pacific,2550000,1520000,240000,255000,2015000,535000,20.98
Q3,2024,Commercial Banking,North America,7000000,4150000,565000,700000,5415000,1585000,22.64
Q3,2024,Commercial Banking,Europe,5800000,3580000,465000,580000,4625000,1175000,20.26
Q3,2024,Commercial Banking,Asia Pacific,4300000,2820000,385000,430000,3635000,665000,15.47
Q4,2024,Investment Banking,North America,7200000,3680000,540000,720000,4940000,2260000,31.39
Q4,2024,Investment Banking,Europe,5400000,2850000,395000,540000,3785000,1615000,29.91
Q4,2024,Investment Banking,Asia Pacific,4100000,2280000,350000,410000,3040000,1060000,25.85
Q4,2024,Asset Management,North America,4200000,2080000,350000,420000,2850000,1350000,32.14
Q4,2024,Asset Management,Europe,3500000,1780000,295000,350000,2425000,1075000,30.71
Q4,2024,Asset Management,Asia Pacific,2600000,1350000,235000,260000,1845000,755000,29.04
Q4,2024,Wealth Management,North America,5100000,2420000,460000,510000,3390000,1710000,33.53
Q4,2024,Wealth Management,Europe,4200000,2220000,360000,420000,3000000,1200000,28.57
Q4,2024,Wealth Management,Asia Pacific,2850000,1580000,265000,285000,2130000,720000,25.26
Q4,2024,Commercial Banking,North America,7500000,4280000,600000,750000,5630000,1870000,24.93
Q4,2024,Commercial Banking,Europe,6200000,3720000,495000,620000,4835000,1365000,22.02
Q4,2024,Commercial Banking,Asia Pacific,4700000,2950000,420000,470000,3840000,860000,18.3